"Player","Games","Min","Ast.To","PPS","DRTG","ORTG","NRTG","TS.","USG.","ORB.","DRB.","TRB.","FGA","FGA2","FGA3","FGM2","FGM3","StlPer","AstPer","eFGPer","FloorPer","Season","Team"
"GOUDELOCK, ANDREW",20,"573:23",1.68,1.38,118.72,119.12,0.4,0.64,26.32,0.86,9.47,5.39,250,143,107,78,49,0.48,20.34,60.6,51.17,"2016-2017","Maccabi FOX Tel Aviv"
"IVERSON, COLTON",30,"618:02",0.42,1.5,111.2,111.14,-0.06,0.62,18.77,12.56,17.22,15.02,160,160,1,98,0,2.15,4.99,61.25,56.91,"2016-2017","Maccabi FOX Tel Aviv"
"LANDESBERG, SYLVEN",23,"354:05",0.86,1.29,119.81,108.01,-11.8,0.57,21.96,2.44,5.95,4.29,126,69,57,31,25,0.47,6.14,54.37,47.81,"2016-2017","Maccabi FOX Tel Aviv"
"0",0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0"
"MEKEL, GAL",24,"383:11",2.42,1.1,116.07,99.07,-17,0.48,18.84,1.93,13.6,8.07,98,73,25,29,10,0.87,34.32,44.9,45.98,"2016-2017","Maccabi FOX Tel Aviv"
"0",0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0"
"OHAYON, YOGEV",27,"483:35",2.11,1.13,113.2,100.71,-12.49,0.52,17.83,1.02,9.4,5.43,126,76,50,29,22,2.86,25.31,49.21,44.22,"2016-2017","Maccabi FOX Tel Aviv"
"PNINI, GUY",29,"367:11",2.77,1.01,115.76,101.82,-13.94,0.47,12.65,3.02,11.17,7.31,74,27,47,14,13,1.51,15.4,45.27,44.35,"2016-2017","Maccabi FOX Tel Aviv"
"RUDD, VICTOR",30,"775:13",0.96,1.26,113.78,103.17,-10.61,0.57,20.55,3.97,14.87,9.71,239,151,88,78,32,1.5,11.8,52.72,46.84,"2016-2017","Maccabi FOX Tel Aviv"
"SEELEY, DENNIS",26,"526:09",1.49,1.38,116.7,107.16,-9.54,0.59,19.36,3.51,7.8,5.77,137,75,62,35,24,1.37,21.29,51.82,46.93,"2016-2017","Maccabi FOX Tel Aviv"
"0",0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0"
"SIMPSON, DIAMON",6,"120:55",1.75,1.34,102.26,117.44,15.18,0.58,21.17,14.27,23.84,19.31,41,41,1,25,0,4.12,11.5,60.98,59.68,"2016-2017","Maccabi FOX Tel Aviv"
"SMITH, DEVIN",28,"733:22",1.12,1.07,112.69,100.86,-11.83,0.51,19.66,5.55,17.99,12.1,240,132,108,60,38,1.36,10.64,48.75,43.14,"2016-2017","Maccabi FOX Tel Aviv"
"WEEMS, SONNY",19,"514:12",1.12,1.26,113.84,97.08,-16.76,0.58,24.05,0.72,12.94,7.15,175,123,52,72,17,1.94,23.54,55.71,45.22,"2016-2017","Maccabi FOX Tel Aviv"
"0",0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0"
"ZIRBES, MAIK",15,"229:49",0.19,1.85,114.75,116.4,1.65,0.73,22.67,9.12,13.51,11.43,66,66,1,45,0,1.2,3.38,68.18,58.72,"2016-2017","Maccabi FOX Tel Aviv"
"0",0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0"
"BOUROUSIS, IOANNIS",33,"600:27",0.58,1.34,103.69,100.13,-3.56,0.53,25.75,10.97,21,15.82,193,138,55,61,16,1.45,10.58,44.04,47.54,"2016-2017","Panathinaikos Superfoods Athens"
"CALATHES, NICK",33,"896:37",2.65,0.99,103.92,100.62,-3.3,0.46,24.08,3.74,14.06,8.73,326,212,114,104,28,3.17,39.55,44.79,46.18,"2016-2017","Panathinaikos Superfoods Athens"
"0",0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0"
"FELDEINE, JAMES",33,"656:32",2.6,1.09,107.82,107.4,-0.42,0.52,18.51,0.88,5.84,3.28,202,91,111,40,42,2.56,18.39,50.99,44.79,"2016-2017","Panathinaikos Superfoods Athens"
"FOTSIS, ANTONIS",24,"294:03",0.71,1.09,108.31,107.46,-0.85,0.52,9.62,5.9,17.66,11.58,46,15,31,8,10,0.59,2.82,50,44.44,"2016-2017","Panathinaikos Superfoods Athens"
"GABRIEL, KENNY",23,"357:40",0.7,1.29,105,118.3,13.3,0.59,15.89,6.46,16.94,11.52,93,44,49,23,20,1.78,3.6,56.99,50.53,"2016-2017","Panathinaikos Superfoods Athens"
