"Player","G","GS","Min","Pts","FGM2","FGA2","FGM3","FGA3","FTM","FTA","O","D","T","As","St","To","Fv","Ag","Cm","Rv","PIR","Season","Team"
"BRENNEKE, LORENZ","2","0","1:26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2019-2020","ALBA Berlin"
"CAVANAUGH, TYLER","19","1","278:21","121","22","58","15","42","32","33","17","45","62","18","10","9","4","8","48","36","122","2019-2020","ALBA Berlin"
"DELOW, MALTE","6","0","25:11","7","2","3","1","2","0","0","0","0","0","1","1","0","0","0","2","0","5","2019-2020","ALBA Berlin"
"ERIKSSON, MARCUS","22","15","543:04","247","28","60","55","118","26","32","9","34","43","19","15","17","5","2","24","51","236","2019-2020","ALBA Berlin"
"GIEDRAITIS, ROKAS","25","21","674:19","344","63","115","51","128","65","77","29","70","99","36","35","28","2","7","47","74","367","2019-2020","ALBA Berlin"
"GIFFEY, NIELS","28","8","528:12","246","55","112","32","67","40","47","21","42","63","35","23","29","8","8","69","43","213","2019-2020","ALBA Berlin"
"HERMANNSSON, MARTIN","27","20","695:48","294","82","185","29","86","43","50","9","34","43","130","13","73","1","13","58","59","229","2019-2020","ALBA Berlin"
"MASON, MAKAI","20","0","219:48","125","23","48","15","34","34","37","1","12","13","22","8","18","0","1","26","31","107","2019-2020","ALBA Berlin"
"MATTISSECK, JONAS","28","7","384:22","75","6","17","18","53","9","11","13","16","29","21","11","21","0","5","43","31","50","2019-2020","ALBA Berlin"
"NIKIC, KRESIMIR","11","2","119:11","29","13","26","0","1","3","8","6","16","22","6","6","10","4","2","14","11","33","2019-2020","ALBA Berlin"
"NNOKO, LANDRY","28","24","620:14","244","95","157","0","0","54","79","58","105","163","22","8","56","19","6","67","77","317","2019-2020","ALBA Berlin"
"OGBE, KENNETH","18","3","155:07","44","12","26","5","13","5","6","4","18","22","5","5","10","0","2","15","9","35","2019-2020","ALBA Berlin"
"RADOSAVLJEVIC, BOGDAN","3","0","5:48","2","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","2019-2020","ALBA Berlin"
"SCHNEIDER, TIM","16","0","189:31","60","6","13","14","38","6","8","7","13","20","5","5","8","2","4","25","7","29","2019-2020","ALBA Berlin"
"SIKMA, LUKE","28","27","721:43","271","71","137","29","67","42","60","61","120","181","127","30","46","15","6","65","79","464","2019-2020","ALBA Berlin"
"SIVA, PEYTON","17","9","360:14","158","22","53","20","73","54","63","4","21","25","88","16","39","0","2","42","56","167","2019-2020","ALBA Berlin"
"THIEMANN, JOHANNES","16","3","227:41","98","28","51","7","13","21","28","22","28","50","12","5","9","0","5","33","31","113","2019-2020","ALBA Berlin"
"ANDERSON, JAMES","28","16","400:12","98","22","40","14","44","12","16","21","69","90","9","8","9","4","2","23","21","144","2019-2020","Anadolu Efes Istanbul"
"BALBAY, DOGUS","25","2","197:21","31","8","14","5","13","0","1","6","18","24","22","12","6","1","0","23","6","52","2019-2020","Anadolu Efes Istanbul"
"BEAUBOIS, RODRIGUE","26","15","551:56","248","48","92","43","108","23","28","3","39","42","44","24","27","7","11","48","41","206","2019-2020","Anadolu Efes Istanbul"
"DUNSTON, BRYANT","9","5","231:33","91","38","51","0","3","15","24","13","35","48","16","7","8","11","3","22","21","136","2019-2020","Anadolu Efes Istanbul"
"GECIM, TOLGA","9","1","37:25","3","0","6","1","10","0","0","3","2","5","6","0","2","0","0","2","1","-4","2019-2020","Anadolu Efes Istanbul"
"ILYASOGLU, OMERCAN","1","0","3:09","0","0","0","0","1","0","0","0","1","1","0","0","1","0","0","0","0","-1","2019-2020","Anadolu Efes Istanbul"
"LARKIN, SHANE","25","15","748:37","555","80","144","88","173","131","145","12","66","78","102","33","54","1","13","33","138","644","2019-2020","Anadolu Efes Istanbul"
"MICIC, VASILIJE","24","22","733:55","347","69","128","52","131","53","55","10","50","60","139","30","75","1","9","61","93","385","2019-2020","Anadolu Efes Istanbul"
"MOERMAN, ADRIEN","12","0","170:07","62","20","30","5","13","7","10","13","24","37","5","6","11","0","0","15","15","78","2019-2020","Anadolu Efes Istanbul"
"PETERS, ALEC","27","6","370:04","113","23","34","15","36","22","26","12","45","57","14","9","10","2","3","41","30","135","2019-2020","Anadolu Efes Istanbul"
"PLEISS, TIBOR","28","22","524:58","267","115","178","4","16","25","27","46","73","119","11","14","26","14","6","40","41","317","2019-2020","Anadolu Efes Istanbul"
"SANLI, SERTAC","21","1","244:56","146","57","84","2","7","26","33","18","28","46","7","4","17","9","6","45","26","131","2019-2020","Anadolu Efes Istanbul"
"SAYBIR, YIGITCAN","1","0","1:57","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","-2","2019-2020","Anadolu Efes Istanbul"
"SIMON, KRUNOSLAV","27","13","629:56","239","55","108","37","84","18","21","23","81","104","77","16","36","5","5","35","31","293","2019-2020","Anadolu Efes Istanbul"
"SINGLETON, CHRIS","28","22","718:22","217","29","76","37","82","48","55","24","99","123","28","35","19","12","11","67","74","293","2019-2020","Anadolu Efes Istanbul"
"TUNCER, BUGRAHAN","9","0","60:32","26","3","7","6","13","2","3","1","3","4","14","4","4","0","0","9","4","27","2019-2020","Anadolu Efes Istanbul"
"ANDERSON, JAMES","37","20","548:43","179","25","57","35","82","24","29","16","59","75","25","9","13","2","2","47","30","174","2018-2019","Anadolu Efes Istanbul"
"BALBAY, DOGUS","37","6","387:27","73","15","35","14","23","1","1","19","33","52","49","16","14","7","5","67","16","98","2018-2019","Anadolu Efes Istanbul"
"BEAUBOIS, RODRIGUE","35","19","718:08","333","67","138","56","140","31","34","6","40","46","80","10","37","12","6","57","50","273","2018-2019","Anadolu Efes Istanbul"
"BIRSEN, METECAN","9","1","35:33","13","5","7","1","3","0","0","1","3","4","3","0","1","1","1","3","1","13","2018-2019","Anadolu Efes Istanbul"
"DUNSTON, BRYANT","36","32","939:00","319","119","183","2","6","75","107","55","121","176","48","29","29","43","9","107","116","486","2018-2019","Anadolu Efes Istanbul"
"LARKIN, SHANE","35","12","769:03","439","72","130","66","147","97","112","12","65","77","110","30","64","3","9","55","114","491","2018-2019","Anadolu Efes Istanbul"
"MICIC, VASILIJE","37","30","1043:30","459","101","174","66","178","59","72","9","72","81","204","38","105","2","10","100","143","514","2018-2019","Anadolu Efes Istanbul"
"MOERMAN, ADRIEN","37","36","1075:30","443","122","206","55","137","34","39","47","177","224","56","41","41","11","6","70","76","563","2018-2019","Anadolu Efes Istanbul"
"MOTUM, BROCK","31","1","359:14","203","56","104","22","50","25","32","22","34","56","11","3","13","2","13","21","30","175","2018-2019","Anadolu Efes Istanbul"
"PLEISS, TIBOR","37","5","525:32","300","117","174","10","30","36","41","42","96","138","14","14","31","19","9","58","50","355","2018-2019","Anadolu Efes Istanbul"
"SANLI, SERTAC","9","0","31:52","18","7","8","0","1","4","5","2","2","4","0","0","1","0","0","5","3","16","2018-2019","Anadolu Efes Istanbul"
"SIMON, KRUNOSLAV","37","22","916:37","349","61","103","56","139","59","70","22","117","139","102","33","49","7","3","73","72","441","2018-2019","Anadolu Efes Istanbul"
"TUNCER, BUGRAHAN","11","1","49:51","10","2","6","2","13","0","0","1","6","7","10","5","5","0","0","6","1","7","2018-2019","Anadolu Efes Istanbul"
"ADAMS, JOSH","16","8","269:04","112","21","37","15","39","25","30","5","20","25","32","7","18","2","4","36","30","105","2017-2018","Anadolu Efes Istanbul"
"BALBAY, DOGUS","16","5","264:07","33","13","40","1","10","4","8","16","20","36","29","20","7","4","3","33","12","51","2017-2018","Anadolu Efes Istanbul"
"BATUK, BIRKAN","23","5","241:08","33","3","5","8","28","3","6","6","14","20","5","4","1","2","1","41","9","5","2017-2018","Anadolu Efes Istanbul"
"BITIM, ONURALP","4","0","35:17","10","1","3","2","2","2","2","1","3","4","2","0","5","0","0","1","2","10","2017-2018","Anadolu Efes Istanbul"
"BROWN, DERRICK","19","6","390:15","136","43","106","11","29","17","20","15","28","43","30","11","16","3","4","36","24","107","2017-2018","Anadolu Efes Istanbul"
"DEMIR, BERK","5","0","34:04","2","1","3","0","0","0","0","1","8","9","3","0","1","0","0","5","3","9","2017-2018","Anadolu Efes Istanbul"
"DOELLMAN, JUSTIN","3","2","39:33","15","4","9","2","7","1","2","1","9","10","1","0","3","0","0","6","1","7","2017-2018","Anadolu Efes Istanbul"
"DOUGLAS, TONEY","14","6","252:09","110","21","50","15","36","23","27","8","21","29","28","9","19","0","1","36","27","93","2017-2018","Anadolu Efes Istanbul"
"DRAGIC, ZORAN","14","10","392:49","148","34","63","17","56","29","34","10","19","29","38","11","20","1","8","34","43","135","2017-2018","Anadolu Efes Istanbul"
"DUNSTON, BRYANT","30","28","845:25","307","116","177","2","6","69","99","62","101","163","39","22","31","52","4","75","88","466","2017-2018","Anadolu Efes Istanbul"
"LEDO, RICKY","13","8","272:48","103","25","74","14","53","11","18","10","38","48","21","10","19","1","5","14","24","74","2017-2018","Anadolu Efes Istanbul"
"MCCOLLUM, ERRICK","29","16","767:44","423","94","210","52","130","79","102","14","55","69","67","23","59","12","13","60","119","364","2017-2018","Anadolu Efes Istanbul"
"MOTUM, BROCK","29","14","556:07","251","69","131","28","73","29","30","29","57","86","19","10","23","0","10","37","31","219","2017-2018","Anadolu Efes Istanbul"
"MURIC, EDO","8","2","115:45","16","6","13","1","11","1","1","3","13","16","3","4","6","0","5","16","4","-1","2017-2018","Anadolu Efes Istanbul"
"MUSTAFA, MUHAYMIN","8","1","49:28","6","3","6","0","4","0","0","0","1","1","1","1","4","0","0","5","1","-6","2017-2018","Anadolu Efes Istanbul"
"SAYBIR, YIGITCAN","2","0","10:54","0","0","3","0","2","0","0","0","1","1","1","0","1","0","1","2","0","-7","2017-2018","Anadolu Efes Istanbul"
"SIMON, KRUNOSLAV","26","22","734:20","240","45","104","38","112","36","44","20","81","101","89","22","45","4","5","73","55","247","2017-2018","Anadolu Efes Istanbul"
"STIMAC, VLADIMIR","30","11","546:36","283","112","190","0","2","59","85","76","98","174","30","18","28","10","23","48","106","416","2017-2018","Anadolu Efes Istanbul"
"WEEMS, SONNY","6","6","182:27","93","31","62","7","22","10","13","5","16","21","24","4","13","0","4","11","17","82","2017-2018","Anadolu Efes Istanbul"
"BALBAY, DOGUS","28","8","275:12","54","16","34","7","23","1","3","23","18","41","28","17","9","2","3","51","17","60","2016-2017","Anadolu Efes Istanbul"
"BROWN, DERRICK","35","35","1025:03","430","150","282","17","58","79","103","58","135","193","77","36","55","18","11","65","108","534","2016-2017","Anadolu Efes Istanbul"
"COTTON, BRYCE","10","10","182:41","80","17","36","12","32","10","11","2","14","16","14","5","9","0","2","21","13","56","2016-2017","Anadolu Efes Istanbul"
"DUNSTON, BRYANT","35","34","1013:26","373","140","253","0","1","93","137","100","117","217","37","21","33","40","13","95","122","511","2016-2017","Anadolu Efes Istanbul"
"GRANGER, JAYSON","35","32","890:59","340","87","188","37","113","55","73","16","77","93","135","30","55","3","14","78","101","360","2016-2017","Anadolu Efes Istanbul"
"HEURTEL, THOMAS","35","6","920:07","443","133","264","35","104","72","83","8","51","59","197","29","89","0","17","76","101","436","2016-2017","Anadolu Efes Istanbul"
"HONEYCUTT, TYLER","35","1","857:54","321","77","165","33","109","68","100","69","187","256","70","40","63","30","3","64","91","482","2016-2017","Anadolu Efes Istanbul"
"KIRK, ALEX","16","0","159:38","54","22","40","0","1","10","15","20","16","36","5","1","9","14","3","30","12","56","2016-2017","Anadolu Efes Istanbul"
"KORKMAZ, FURKAN","2","0","13:56","2","1","4","0","1","0","0","0","1","1","1","3","0","0","0","1","1","3","2016-2017","Anadolu Efes Istanbul"
"MUTAF, MAXIM","11","0","71:45","21","0","4","7","17","0","0","5","6","11","4","4","3","0","0","14","3","12","2016-2017","Anadolu Efes Istanbul"
"OMIC, ALEN","17","1","140:06","50","22","40","0","0","6","16","17","9","26","7","3","9","0","4","25","21","41","2016-2017","Anadolu Efes Istanbul"
"OSMAN, CEDI","35","34","649:20","249","52","109","36","106","37","47","29","68","97","26","21","19","3","8","63","51","220","2016-2017","Anadolu Efes Istanbul"
"PAUL, BRANDON","23","14","398:03","198","18","53","39","94","45","64","3","20","23","13","24","16","6","7","58","59","133","2016-2017","Anadolu Efes Istanbul"
"THOMAS, DESHAUN","35","0","501:50","255","50","98","42","128","29","36","21","38","59","12","8","15","2","8","37","32","167","2016-2017","Anadolu Efes Istanbul"
"BILIGHA, PAUL","13","0","173:46","38","14","34","0","4","10","11","14","16","30","5","3","8","11","3","25","12","38","2019-2020","AX Armani Exchange Milan"
"BROOKS, JEFF","19","8","390:04","81","21","41","10","22","9","11","26","61","87","18","9","11","8","0","32","15","141","2019-2020","AX Armani Exchange Milan"
"BURNS, CHRISTIAN","4","1","21:51","0","0","4","0","2","0","0","1","1","2","1","0","1","0","1","4","1","-8","2019-2020","AX Armani Exchange Milan"
"CINCIARINI, ANDREA","13","2","82:52","6","1","5","1","6","1","4","1","8","9","8","3","2","0","0","11","4","5","2019-2020","AX Armani Exchange Milan"
"CRAWFORD, DREW","7","0","120:40","40","11","22","5","14","3","4","4","9","13","2","4","6","1","1","21","6","17","2019-2020","AX Armani Exchange Milan"
"DELLA VALLE, AMEDEO","21","0","251:55","123","21","42","15","30","36","43","7","12","19","10","10","5","1","1","27","37","124","2019-2020","AX Armani Exchange Milan"
"GUDAITIS, ARTURAS","19","1","321:04","139","39","78","1","1","58","77","30","53","83","9","8","22","17","4","47","73","198","2019-2020","AX Armani Exchange Milan"
"MACK, SHELVIN","11","2","189:44","54","18","48","4","12","6","8","4","16","20","20","5","18","0","2","17","13","35","2019-2020","AX Armani Exchange Milan"
"MICOV, VLADIMIR","26","25","717:21","314","70","138","43","105","45","56","16","69","85","57","17","34","3","4","56","71","312","2019-2020","AX Armani Exchange Milan"
"MORASCHINI, RICCARDO","15","4","256:46","79","16","27","9","31","20","24","1","38","39","16","10","14","1","2","22","17","87","2019-2020","AX Armani Exchange Milan"
"NEDOVIC, NEMANJA","17","3","280:54","135","17","40","24","70","29","35","0","21","21","29","5","20","1","3","30","42","105","2019-2020","AX Armani Exchange Milan"
"RODRIGUEZ, SERGIO","28","20","718:05","365","71","153","58","155","49","51","9","54","63","151","25","55","4","9","64","84","383","2019-2020","AX Armani Exchange Milan"
"ROLL, MICHAEL","28","19","613:28","210","40","84","39","89","13","15","8","63","71","45","15","27","1","3","48","26","194","2019-2020","AX Armani Exchange Milan"
"SCOLA, LUIS","28","24","537:45","258","74","148","24","68","38","58","30","92","122","31","14","35","2","12","62","59","239","2019-2020","AX Armani Exchange Milan"
"SYKES, KEIFER","12","5","225:55","87","14","43","16","44","11","13","4","10","14","24","5","17","1","6","28","16","37","2019-2020","AX Armani Exchange Milan"
"TARCZEWSKI, KALEB","28","23","595:11","227","89","136","0","0","49","73","60","101","161","11","11","31","26","8","84","63","305","2019-2020","AX Armani Exchange Milan"
"WHITE, AARON","15","3","152:39","31","6","16","3","12","10","12","7","14","21","5","2","6","1","3","17","16","29","2019-2020","AX Armani Exchange Milan"
"BERTANS, DAIRIS","22","11","365:54","141","8","25","37","69","14","17","6","16","22","14","15","7","0","2","45","26","112","2018-2019","AX Armani Exchange Olimpia Milan"
"BROOKS, JEFF","29","29","728:38","175","49","88","19","48","20","24","42","111","153","29","22","24","8","2","60","19","248","2018-2019","AX Armani Exchange Olimpia Milan"
"BURNS, CHRISTIAN","14","0","43:34","14","4","9","0","1","6","6","5","6","11","1","0","2","2","0","16","4","8","2018-2019","AX Armani Exchange Olimpia Milan"
"CINCIARINI, ANDREA","14","5","157:12","45","15","24","4","12","3","8","5","14","19","12","7","13","1","0","24","9","34","2018-2019","AX Armani Exchange Olimpia Milan"
"DELLA VALLE, AMEDEO","12","0","72:38","25","3","6","5","14","4","4","4","5","9","3","1","2","2","0","12","8","22","2018-2019","AX Armani Exchange Olimpia Milan"
"FONTECCHIO, SIMONE","5","0","4:01","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","4","0","-6","2018-2019","AX Armani Exchange Olimpia Milan"
"GUDAITIS, ARTURAS","21","4","500:08","263","78","122","0","0","107","133","70","80","150","8","16","27","21","7","63","101","392","2018-2019","AX Armani Exchange Olimpia Milan"
"JAMES, MIKE","30","30","1018:26","595","119","253","70","215","147","178","11","103","114","191","39","77","1","20","77","151","607","2018-2019","AX Armani Exchange Olimpia Milan"
"JERRELLS, CURTIS","30","0","452:06","186","30","66","35","102","21","28","4","27","31","44","12","25","1","7","42","37","127","2018-2019","AX Armani Exchange Olimpia Milan"
"KUZMINSKAS, MINDAUGAS","30","1","511:37","255","55","107","30","64","55","64","38","60","98","22","16","28","4","10","52","54","264","2018-2019","AX Armani Exchange Olimpia Milan"
"MICOV, VLADIMIR","30","30","939:26","418","93","185","56","142","64","81","15","82","97","76","34","42","4","6","69","94","411","2018-2019","AX Armani Exchange Olimpia Milan"
"NEDOVIC, NEMANJA","15","7","352:01","172","30","58","29","70","25","31","3","34","37","40","12","32","2","2","37","39","156","2018-2019","AX Armani Exchange Olimpia Milan"
"NUNNALLY, JAMES","10","7","268:36","141","30","57","16","38","33","36","6","23","29","22","4","11","0","3","15","30","145","2018-2019","AX Armani Exchange Olimpia Milan"
"OMIC, ALEN","14","2","174:53","35","17","37","0","1","1","6","24","27","51","7","5","11","3","0","18","12","58","2018-2019","AX Armani Exchange Olimpia Milan"
"TARCZEWSKI, KALEB","24","24","435:50","153","63","87","0","0","27","39","48","62","110","9","10","24","16","7","67","46","210","2018-2019","AX Armani Exchange Olimpia Milan"
"ABASS, AWUDU","10","0","47:36","9","2","7","1","8","2","3","5","6","11","2","5","2","0","1","5","1","7","2017-2018","AX Armani Exchange Olimpia Milan"
"BERTANS, DAIRIS","28","4","514:55","199","20","46","45","110","24","28","9","19","28","40","11","13","2","7","57","40","148","2017-2018","AX Armani Exchange Olimpia Milan"
"CINCIARINI, ANDREA","24","8","327:18","109","29","57","9","19","24","30","11","46","57","50","8","21","0","1","44","29","143","2017-2018","AX Armani Exchange Olimpia Milan"
"CUSIN, MARCO","6","0","26:13","1","0","2","0","0","1","4","1","4","5","0","1","4","3","0","8","5","-2","2017-2018","AX Armani Exchange Olimpia Milan"
"FONTECCHIO, SIMONE","2","0","1:58","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2017-2018","AX Armani Exchange Olimpia Milan"
"GOUDELOCK, ANDREW","25","23","655:36","308","69","150","40","128","50","54","11","50","61","44","19","29","5","4","51","67","247","2017-2018","AX Armani Exchange Olimpia Milan"
"GUDAITIS, ARTURAS","29","1","600:05","299","98","146","0","0","103","144","70","113","183","7","17","19","31","9","78","105","447","2017-2018","AX Armani Exchange Olimpia Milan"
"JEFFERSON, CORY","13","8","149:31","45","13","25","4","16","7","12","5","12","17","4","1","4","1","4","20","10","21","2017-2018","AX Armani Exchange Olimpia Milan"
"JERRELLS, CURTIS","24","2","495:31","229","42","76","39","106","28","35","7","37","44","65","13","28","0","3","35","46","223","2017-2018","AX Armani Exchange Olimpia Milan"
"KALNIETIS, MANTAS","20","3","325:54","90","16","45","13","34","19","21","2","34","36","43","10","27","1","4","24","25","98","2017-2018","AX Armani Exchange Olimpia Milan"
"KUZMINSKAS, MINDAUGAS","14","13","307:12","153","37","78","16","37","31","39","15","18","33","20","7","13","2","8","25","35","134","2017-2018","AX Armani Exchange Olimpia Milan"
"M'BAYE, AMATH","30","10","529:58","183","37","68","25","66","34","43","14","47","61","28","11","21","3","0","72","42","154","2017-2018","AX Armani Exchange Olimpia Milan"
"MICOV, VLADIMIR","29","28","798:06","316","68","133","47","106","39","50","5","70","75","63","16","42","3","7","38","75","326","2017-2018","AX Armani Exchange Olimpia Milan"
"PASCOLO, DAVIDE","11","0","125:28","42","19","35","0","7","4","7","9","15","24","7","7","3","1","1","16","8","43","2017-2018","AX Armani Exchange Olimpia Milan"
"TARCZEWSKI, KALEB","30","29","590:32","200","65","101","0","0","70","95","63","109","172","9","10","33","23","8","101","93","304","2017-2018","AX Armani Exchange Olimpia Milan"
"THEODORE, JORDAN","23","21","604:07","267","81","165","20","68","45","52","11","36","47","100","20","42","1","8","67","73","252","2017-2018","AX Armani Exchange Olimpia Milan"
"ABASS, AWUDU","23","11","368:32","105","18","43","16","38","21","25","17","27","44","12","9","15","6","3","45","23","85","2016-2017","EA7 Emporio Armani Milan"
"CERELLA, BRUNO","5","0","49:26","8","0","1","2","6","2","3","0","2","2","4","0","0","0","0","9","1","0","2016-2017","EA7 Emporio Armani Milan"
"CINCIARINI, ANDREA","23","9","425:14","127","39","73","7","28","28","40","11","44","55","50","15","25","2","4","48","32","137","2016-2017","EA7 Emporio Armani Milan"
"DRAGIC, ZORAN","23","14","441:53","162","45","83","16","54","24","33","21","29","50","17","15","26","4","8","58","39","110","2016-2017","EA7 Emporio Armani Milan"
"FONTECCHIO, SIMONE","10","2","117:23","33","6","13","7","17","0","0","6","9","15","8","5","5","1","2","21","2","19","2016-2017","EA7 Emporio Armani Milan"
"GENTILE, ALESSANDRO","9","8","205:46","97","35","69","3","14","18","32","12","15","27","22","10","20","3","1","19","25","85","2016-2017","EA7 Emporio Armani Milan"
"HICKMAN, RICKY","30","20","749:21","303","54","129","38","109","81","101","13","64","77","100","25","69","3","13","63","116","313","2016-2017","EA7 Emporio Armani Milan"
"KALNIETIS, MANTAS","26","9","504:46","188","42","85","28","76","20","30","7","52","59","76","20","43","2","5","33","34","197","2016-2017","EA7 Emporio Armani Milan"
"MACVAN, MILAN","28","24","626:46","234","70","131","21","56","31","39","44","80","124","40","12","31","1","8","47","60","281","2016-2017","EA7 Emporio Armani Milan"
"MCLEAN, JAMEL","30","4","622:11","261","91","154","2","12","73","102","47","79","126","43","21","48","6","13","91","97","300","2016-2017","EA7 Emporio Armani Milan"
"PASCOLO, DAVIDE","22","6","334:24","139","57","88","3","18","16","19","31","30","61","15","13","12","8","5","51","27","146","2016-2017","EA7 Emporio Armani Milan"
"RADULJICA, MIROSLAV","29","23","450:49","234","90","173","0","1","54","67","35","58","93","27","18","55","1","4","70","78","225","2016-2017","EA7 Emporio Armani Milan"
"SANDERS, RAKIM","24","11","547:53","301","77","147","39","96","30","45","21","63","84","28","27","30","5","12","60","49","250","2016-2017","EA7 Emporio Armani Milan"
"SIMON, KRUNOSLAV","21","9","580:36","230","49","94","30","81","42","48","16","60","76","81","21","39","4","2","45","42","266","2016-2017","EA7 Emporio Armani Milan"
"BARON, BILLY","26","25","639:40","301","43","97","56","139","47","55","9","61","70","58","21","31","1","15","35","60","285","2019-2020","Crvena Zvezda mts Belgrade"
"BROWN, DERRICK","6","3","86:23","36","8","21","4","7","8","12","5","14","19","4","1","5","0","3","7","7","32","2019-2020","Crvena Zvezda mts Belgrade"
"BROWN, LORENZO","27","27","681:54","332","102","222","21","73","65","79","19","71","90","125","30","75","10","15","51","92","352","2019-2020","Crvena Zvezda mts Belgrade"
"COVIC, FILIP","13","1","182:55","30","2","14","7","27","5","7","1","11","12","33","2","17","0","3","18","22","27","2019-2020","Crvena Zvezda mts Belgrade"
"DAVIDOVAC, DEJAN","24","4","450:42","148","34","63","15","46","35","44","20","49","69","14","19","18","6","3","47","56","175","2019-2020","Crvena Zvezda mts Belgrade"
"DOBRIC, OGNJEN","22","3","321:32","112","27","48","15","42","13","19","13","25","38","19","17","10","2","4","26","22","116","2019-2020","Crvena Zvezda mts Belgrade"
"FAYE, MOUHAMMAD","12","1","218:56","54","6","19","9","27","15","18","12","33","45","7","4","9","7","3","21","13","63","2019-2020","Crvena Zvezda mts Belgrade"
"GIST, JAMES","25","7","506:30","175","64","144","4","19","35","59","45","66","111","33","17","38","9","12","64","55","167","2019-2020","Crvena Zvezda mts Belgrade"
"JAGODIC-KURIDZA, MARKO","8","3","139:24","31","12","24","1","8","4","8","6","17","23","8","0","8","6","2","15","14","34","2019-2020","Crvena Zvezda mts Belgrade"
"JENKINS, CHARLES","23","0","429:39","78","28","55","2","27","16","17","8","42","50","41","18","21","4","3","54","19","79","2019-2020","Crvena Zvezda mts Belgrade"
"JOVANOVIC, NIKOLA","6","0","41:43","12","3","8","0","0","6","10","5","6","11","1","0","3","0","1","11","6","6","2019-2020","Crvena Zvezda mts Belgrade"
"KUZMIC, OGNJEN","19","16","245:40","75","31","50","0","0","13","16","29","38","67","11","4","13","4","5","34","16","103","2019-2020","Crvena Zvezda mts Belgrade"
"LAZIC, BRANKO","25","25","405:57","98","25","48","14","48","6","9","9","23","32","16","16","15","1","1","68","27","46","2019-2020","Crvena Zvezda mts Belgrade"
"LUCAS, KALIN","3","0","38:55","4","2","5","0","3","0","0","0","1","1","9","1","2","0","1","1","2","7","2019-2020","Crvena Zvezda mts Belgrade"
"NENADIC, NEMANJA","1","0","2:53","1","0","1","0","0","1","2","0","0","0","0","0","1","0","1","1","1","-3","2019-2020","Crvena Zvezda mts Belgrade"
"OJO, MICHAEL","22","3","251:32","91","28","45","0","0","35","46","20","46","66","6","17","28","4","3","49","34","110","2019-2020","Crvena Zvezda mts Belgrade"
"PERPEROGLOU, STRATOS","13","0","214:33","101","20","50","15","42","16","22","3","31","34","7","7","16","0","4","20","21","67","2019-2020","Crvena Zvezda mts Belgrade"
"PUNTER, KEVIN","12","0","264:50","191","37","78","25","52","42","47","2","11","13","18","7","10","1","5","24","46","164","2019-2020","Crvena Zvezda mts Belgrade"
"SIMANIC, BORISA","20","18","253:32","80","15","24","16","31","2","4","7","17","24","11","6","14","10","1","32","6","64","2019-2020","Crvena Zvezda mts Belgrade"
"STIMAC, VLADIMIR","13","4","297:50","144","53","89","3","8","29","44","37","44","81","14","7","19","6","9","28","42","182","2019-2020","Crvena Zvezda mts Belgrade"
"ANTIC, PERO","18","2","327:04","111","12","28","20","73","27","35","16","45","61","19","13","12","2","1","44","40","112","2017-2018","Crvena Zvezda mts Belgrade"
"APIC, DRAGAN","3","0","16:43","4","2","2","0","0","0","1","0","0","0","0","0","2","0","0","4","1","-2","2017-2018","Crvena Zvezda mts Belgrade"
"BJELICA, MILKO","29","29","753:06","267","67","146","27","91","52","74","34","73","107","39","13","21","6","11","76","96","255","2017-2018","Crvena Zvezda mts Belgrade"
"DANGUBIC, NEMANJA","18","15","363:26","134","24","51","22","47","20","25","16","45","61","22","12","18","2","4","55","23","120","2017-2018","Crvena Zvezda mts Belgrade"
"DAVIDOVAC, DEJAN","24","6","375:26","156","28","45","22","47","34","44","15","33","48","28","16","20","6","5","47","49","179","2017-2018","Crvena Zvezda mts Belgrade"
"DOBRIC, OGNJEN","26","1","395:25","168","34","58","27","77","19","23","27","32","59","11","16","11","6","1","35","23","158","2017-2018","Crvena Zvezda mts Belgrade"
"FELDEINE, JAMES","28","17","698:53","325","69","175","41","119","64","74","10","36","46","80","34","39","3","11","38","66","272","2017-2018","Crvena Zvezda mts Belgrade"
"ENNIS, DYLAN","18","0","234:00","117","18","56","18","45","27","31","3","29","32","29","8","23","1","1","30","25","89","2017-2018","Crvena Zvezda mts Belgrade"
"JANKOVIC, STEFAN","28","0","331:36","107","35","71","7","37","16","19","28","42","70","13","10","13","12","2","57","22","93","2017-2018","Crvena Zvezda mts Belgrade"
"JOVANOVIC, NIKOLA","16","0","129:06","57","24","43","1","3","6","18","21","23","44","3","1","4","3","4","19","16","64","2017-2018","Crvena Zvezda mts Belgrade"
"KESELJ, MARKO","6","0","36:04","0","0","1","0","5","0","0","1","5","6","3","0","3","0","0","3","1","-2","2017-2018","Crvena Zvezda mts Belgrade"
"LAZAREVIC, STEFAN","4","0","12:30","3","1","2","0","0","1","1","1","1","2","0","1","1","0","0","3","1","2","2017-2018","Crvena Zvezda mts Belgrade"
"LAZIC, BRANKO","30","21","611:18","100","19","47","15","58","17","18","24","36","60","27","23","13","4","5","90","42","76","2017-2018","Crvena Zvezda mts Belgrade"
